"","kennung","art","frequenz"
"252","M210","Festuca nigrescens",3
"253","M210","Nardus stricta",34
"254","M210","Vaccinium myrtillus",53
"255","M210","Homogyne alpina",15
"256","M310","Campanula barbata",3
"257","M310","Festuca nigrescens",4
"258","M310","Leontodon helveticus",3
"259","M310","Luzula luzuloides",6
"260","M310","Nardus stricta",72
"261","M310","Vaccinium myrtillus",54
"262","M310","Carex sp.",6
"263","M310","Homogyne alpina",26
"264","M410","Nardus stricta",30
"265","M410","Vaccinium myrtillus",59
"266","S110","Homogyne alpina",7
"267","M410","Avenella flexuosa",49
"268","M310","Geum montanum",3
"269","M110","Geum montanum",16
"270","M210","Geum montanum",5
"271","M110","Carex sp.",3
"272","M310","Melampyrum pratense",6
"273","S410","Melampyrum pratense",1
"274","M110","Melampyrum pratense",2
"275","S309","Melampyrum pratense",9
"276","M309","Melampyrum pratense",37
"277","S209","Melampyrum pratense",14
"278","S310","Geum montanum",13
"279","M410","Melampyrum pratense",1
"280","0308","Vaccinium vitis-idaea",53
"281","0208","Vaccinium vitis-idaea",18
"282","M410","Potentilla erecta",7
"283","M310","Potentilla erecta",35
"284","M110","Potentilla erecta",6
"285","M210","Potentilla erecta",36
"286","S210","Pulsatilla sp.",2
"287","M310","Avenella flexuosa",51
"288","M410","Pulsatilla sp.",1
"289","M111","Anthoxanthum odoratum",71
"290","M111","Arnica montana",5
"291","M111","Avenella flexuosa",29
"292","M111","Campanula barbata",15
"293","M111","Festuca sp.",1
"294","M111","Geum montanum",21
"295","M111","Homogyne alpina",30
"296","M111","Leontodon helveticus",2
"297","M111","Luzula luzuloides",4
"298","M111","Nardus stricta",89
"299","M111","Poa supina",12
"300","M111","Vaccinium myrtillus",41
"301","M111","Vaccinium uliginosum",13
"302","M211","Anthoxanthum odoratum",63
"303","M211","Arnica montana",3
"304","M211","Avenella flexuosa",62
"305","M211","Campanula barbata",13
"306","M211","Campanula sp.",1
"307","M110","Anthoxanthum odoratum",53
"308","M210","Anthoxanthum odoratum",70
"309","M310","Anthoxanthum odoratum",45
"310","M310","Vaccinium uliginosum",20
"311","M110","Vaccinium uliginosum",38
"312","M210","Vaccinium uliginosum",4
"313","M410","Vaccinium uliginosum",10
"314","M210","Luzula luzuloides",3
"315","M211","Festuca nigrescens",15
"316","M211","Geum montanum",4
"317","M211","Homogyne alpina",30
"318","M211","Leontodon helveticus",3
"319","M211","Nardus stricta",57
"320","M211","Poa supina",2
"321","M211","Potentilla erecta",31
"322","M211","Vaccinium myrtillus",38
"323","M211","Vaccinium uliginosum",1
"324","M311","Anthoxanthum odoratum",64
"325","M311","Avenella flexuosa",49
"326","M311","Festuca nigrescens",20
"327","M311","Festuca sp.",1
"328","M311","Geum montanum",2
"329","M311","Homogyne alpina",26
"330","M311","Leontodon helveticus",13
"331","M311","Nardus stricta",74
"332","M311","Potentilla erecta",24
"333","M311","Vaccinium myrtillus",15
"334","M311","Cerastium alpinum",1
"335","M411","Anthoxanthum odoratum",10
"336","M411","Avenella flexuosa",13
"337","M411","Homogyne alpina",2
"338","M411","Leontodon helveticus",1
"339","M411","Nardus stricta",58
"340","M411","Potentilla erecta",5
"341","M411","Vaccinium myrtillus",32
"342","M411","Vaccinium uliginosum",4
"343","M411","Cerastium alpinum",14
"344","S111","Anthoxanthum odoratum",66
"345","S111","Avenella flexuosa",8
"346","S111","Campanula barbata",5
"347","S111","Geum montanum",20
"348","S111","Homogyne alpina",16
"349","S111","Leontodon helveticus",14
"350","S111","Nardus stricta",92
"351","S111","Potentilla erecta",52
"352","S111","Vaccinium myrtillus",24
"353","S111","Vaccinium uliginosum",1
"354","S211","Anthoxanthum odoratum",52
"355","S211","Avenella flexuosa",28
"356","S211","Campanula barbata",2
"357","S211","Geum montanum",6
"358","S211","Homogyne alpina",22
"359","S211","Leontodon helveticus",4
"360","S211","Nardus stricta",80
"361","S211","Poa supina",4
"362","S211","Potentilla erecta",7
"363","S211","Vaccinium myrtillus",34
"364","S211","Vaccinium uliginosum",4
"365","S211","Cerastium alpinum",1
"366","S311","Anthoxanthum odoratum",16
"367","S311","Avenella flexuosa",13
"368","S311","Festuca sp.",3
"369","S311","Geum montanum",6
"370","S311","Homogyne alpina",17
"371","S311","Nardus stricta",87
"372","S311","Potentilla erecta",3
"373","S311","Vaccinium myrtillus",56
"374","S411","Anthoxanthum odoratum",42
"375","S411","Avenella flexuosa",31
"376","S411","Campanula sp.",1
"377","S411","Festuca nigrescens",1
"378","S411","Geum montanum",5
"379","S411","Homogyne alpina",28
"380","S411","Leontodon helveticus",10
"381","S411","Nardus stricta",75
"382","S411","Poa supina",2
"383","S411","Potentilla erecta",11
"384","S411","Vaccinium myrtillus",39
"385","S411","Vaccinium uliginosum",1
"386","S411","Veronica sp.",3
"387","B111","Avenella flexuosa",80
"388","B111","Campanula barbata",2
"389","B111","Nardus stricta",55
"390","B111","Phleum rhaeticum",6
"391","B111","Poa supina",1
"392","B111","Vaccinium myrtillus",97
"393","B111","Anthoxanthum odoratum",44
"394","B211","Anthoxanthum odoratum",18
"395","B211","Avenella flexuosa",87
"396","B211","Campanula sp.",1
"397","B211","Festuca nigrescens",3
"398","B211","Leontodon helveticus",3
"399","B211","Nardus stricta",60
"400","B211","Phleum rhaeticum",1
"401","B211","Potentilla erecta",9
"402","B211","Rumex acetosa",3
"403","B211","Vaccinium myrtillus",99
"404","B311","Anthoxanthum odoratum",9
"405","B311","Avenella flexuosa",73
"406","B311","Campanula barbata",1
"407","B311","Campanula sp.",1
"408","B311","Homogyne alpina",10
"409","B311","Leontodon helveticus",12
"410","B311","Nardus stricta",76
"411","B311","Poa supina",1
"412","B311","Potentilla erecta",6
"413","B311","Vaccinium myrtillus",99
"414","B311","Vaccinium uliginosum",1
"415","B411","Anthoxanthum odoratum",10
"416","B411","Avenella flexuosa",70
"417","B411","Homogyne alpina",19
"418","B411","Leontodon helveticus",13
"419","B411","Luzula luzuloides",2
"420","B411","Nardus stricta",60
"421","B411","Potentilla erecta",14
"422","B411","Vaccinium myrtillus",100
"423","M410","Anthoxanthum odoratum",1
"424","S410","Anthoxanthum odoratum",29
"425","M209","Anthoxanthum odoratum",36
"426","B109","Anthoxanthum odoratum",20
"427","M409","Anthoxanthum odoratum",1
"428","S309","Vaccinium uliginosum",7
"429","0411","Anthoxanthum odoratum",2
"430","0411","Avenella flexuosa",47
"431","0411","Festuca nigrescens",57
"432","0411","Geum montanum",5
"433","0411","Homogyne alpina",7
"434","0411","Melampyrum pratense",1
"435","0111","Anthoxanthum odoratum",12
"436","0411","Nardus stricta",18
"437","0411","Poa alpina",1
"438","0411","Potentilla erecta",3
"439","0411","Vaccinium myrtillus",81
"440","0411","Vaccinium uliginosum",91
"441","0311","Anthoxanthum odoratum",8
"442","0311","Avenella flexuosa",83
"443","0311","Festuca nigrescens",9
"444","0311","Geum montanum",10
"445","0311","Homogyne alpina",24
"446","0311","Leontodon helveticus",3
"447","0311","Luzula luzuloides",42
"448","0311","Melampyrum sp.",3
"449","0311","Nardus stricta",16
"450","0311","Potentilla erecta",9
"451","0311","Vaccinium myrtillus",78
"452","0311","Vaccinium uligunosum",90
"453","0311","Vaccinium vitis-idea",15
"454","0211","Anthoxanthum odoratum",3
"455","0211","Avenella flexuosa",59
"456","0211","Festuca nigrescens",8
"457","0211","Homogyne alpina",15
"458","0211","Luzula luzuloides",2
"459","0211","Nardus stricta",26
"460","0211","Vaccinium myrtillus",91
"461","0211","Vaccinium uligunosum",43
"462","0211","Vaccinium vitis-idea",62
"463","0211","Erica carnea",1
"464","0111","Avenella flexuosa",62
"465","0111","Festuca nigrescens",34
"466","0111","Geum montanum",4
"467","0111","Homogyne alpina",7
"468","0111","Luzula luzuloides",26
"469","0111","Melampyrum sp.",7
"470","0111","Nardus stricta",51
"471","0111","Poa alpina",1
"472","0111","Potentilla erecta",4
"473","0111","Vaccinium myrtillus",79
"474","0111","Vaccinium uligunosum",83
"475","0111","Vaccinium vitis-idea",46
"476","0111","Erica carnea",13
"477","0111","Pulsatilla sp.",2
"478","0411","Vaccinium vitis-idea",50
